DIM_INDICATOR_id,DIM_INDICATOR_name,DIM_TIME_year,DIM_TIME_month,DIM_LOCATION_id,DIM_SOURCE_id,FACT_value
IND_GDP_GROWTH_PCT,GDP growth (annual %),2025,12,PAK,KAGGLE_PAK_ECONOMY,3.0
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2000,12,PAK,KAGGLE_PAK_ECONOMY,10.31
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2001,12,PAK,KAGGLE_PAK_ECONOMY,10.16
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2002,12,PAK,KAGGLE_PAK_ECONOMY,10.13
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2003,12,PAK,KAGGLE_PAK_ECONOMY,10.49
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2004,12,PAK,KAGGLE_PAK_ECONOMY,12.23
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2005,12,PAK,KAGGLE_PAK_ECONOMY,18.49
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2006,12,PAK,KAGGLE_PAK_ECONOMY,20.01
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2007,12,PAK,KAGGLE_PAK_ECONOMY,17.02
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2008,12,PAK,KAGGLE_PAK_ECONOMY,20.73
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2009,12,PAK,KAGGLE_PAK_ECONOMY,18.26
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2010,12,PAK,KAGGLE_PAK_ECONOMY,19.59
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2011,12,PAK,KAGGLE_PAK_ECONOMY,19.62
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2012,12,PAK,KAGGLE_PAK_ECONOMY,18.74
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2013,12,PAK,KAGGLE_PAK_ECONOMY,18.25
